,salesdate,netsales
885,2024-01-01,19.8
886,2024-01-02,79.2
887,2024-01-03,9.9
888,2024-01-04,11.9
889,2024-01-05,69.3
890,2024-01-06,79.2
891,2024-01-07,39.6
892,2024-01-08,9.9
893,2024-01-09,29.7
894,2024-01-10,89.1
895,2024-01-11,95.1
896,2024-01-12,118.8
897,2024-01-13,72.3
898,2024-01-14,69.3
899,2024-01-15,69.3
900,2024-01-16,136.2
901,2024-01-17,95.0
902,2024-01-18,62.4
903,2024-01-19,101.5
904,2024-01-20,66.4
905,2024-01-21,87.2
906,2024-01-22,117.8
907,2024-01-23,142.6
908,2024-01-24,153.6
909,2024-01-25,116.8
910,2024-01-27,164.1
911,2024-01-28,67.9
912,2024-01-29,48.1
913,2024-01-30,131.7
914,2024-01-31,71.8
915,2024-02-01,171.3
916,2024-02-02,65.4
917,2024-02-03,150.6
918,2024-02-04,146.5
919,2024-02-05,114.9
920,2024-02-06,206.1
921,2024-02-07,72.3
922,2024-02-08,152.5
923,2024-02-09,146.5
924,2024-02-10,59.4
925,2024-02-11,73.9
926,2024-02-14,80.8
927,2024-02-15,139.6
928,2024-02-16,108.9
929,2024-02-17,49.5
930,2024-02-18,59.4
931,2024-03-15,125.0
932,2024-03-17,125.0
933,2024-03-22,343.9
934,2024-03-24,1111.1
935,2024-03-25,1697.6
936,2024-03-30,659.9
937,2024-04-01,587.3
938,2024-04-02,909.2
939,2024-05-20,190.5
940,2024-05-22,107.0
941,2024-07-28,34.0
942,2024-09-06,20.7
943,2024-09-07,41.0
944,2024-09-11,14.0
945,2024-09-15,10.4
946,2024-09-27,10.4
947,2024-09-29,45.7
948,2024-10-03,39.9
949,2024-10-15,17.0
950,2024-10-16,49.5
951,2024-10-17,12.8
952,2024-10-20,20.6
953,2024-10-22,12.5
954,2024-10-25,41.0
955,2024-10-26,12.8
956,2024-10-27,6.5
957,2024-11-07,78.0
958,2024-11-23,7.3
959,2024-11-25,44.8
960,2024-11-26,6.4
961,2024-11-27,13.4
962,2024-12-01,14.3
963,2024-12-08,14.2
964,2024-12-09,39.0
965,2024-12-10,12.8
966,2024-12-13,6.4
967,2024-01-01,19.8
968,2024-01-02,79.2
969,2024-01-03,9.9
970,2024-01-04,11.9
971,2024-01-05,69.3
972,2024-01-06,79.2
973,2024-01-07,39.6
974,2024-01-08,9.9
975,2024-01-09,29.7
976,2024-01-10,89.1
977,2024-01-11,95.1
978,2024-01-12,118.8
979,2024-01-13,72.3
980,2024-01-14,69.3
981,2024-01-15,69.3
982,2024-01-16,136.2
983,2024-01-17,95.0
984,2024-01-18,62.4
985,2024-01-19,101.5
986,2024-01-20,66.4
987,2024-01-21,87.2
988,2024-01-22,117.8
989,2024-01-23,142.6
990,2024-01-24,153.6
991,2024-01-25,116.8
992,2024-01-27,164.1
993,2024-01-28,67.9
994,2024-01-29,48.1
995,2024-01-30,131.7
